Displacement (mm),Load (kN),Engineering Stress (GPa)
0.041424,0.00429,0.000777814
0.041934,0.00429,0.000777814
0.041424,0.00429,0.000777814
0.041594,0.00429,0.000777814
0.041764,0.00429,0.000777814
0.041594,0.00429,0.000777814
0.041764,0.00429,0.000777814
0.041424,0.00429,0.000777814
0.041594,0.00429,0.000777814
0.041934,0.00429,0.000777814
0.042104,0.00429,0.000777814
0.041934,0.00429,0.000777814
0.041594,0.00429,0.000777814
0.041594,0.00429,0.000777814
0.042104,0.00442,0.000801384
0.041764,0.00442,0.000801384
0.042276,0.00442,0.000801384
0.041424,0.00442,0.000801384
0.041764,0.00442,0.000801384
0.041764,0.00442,0.000801384
0.041764,0.00442,0.000801384
0.042276,0.00442,0.000801384
0.041934,0.00442,0.000801384
0.041934,0.00442,0.000801384
0.041424,0.00442,0.000801384
0.041764,0.00442,0.000801384
0.041764,0.00442,0.000801384
0.041934,0.00456,0.000826767
0.041594,0.00456,0.000826767
0.041764,0.00456,0.000826767
0.041424,0.00456,0.000826767
0.041424,0.00456,0.000826767
0.041764,0.00496,0.000899291
0.041594,0.00536,0.000971814
0.041594,0.00604,0.001095104
0.042446,0.00953,0.001727871
0.042616,0.01422,0.002578208
0.042104,0.02228,0.004039555
0.042958,0.03275,0.005937856
0.043298,0.04348,0.007883297
0.04415,0.05449,0.009879505
0.04432,0.06778,0.012289096
0.045002,0.08295,0.015039547
0.045174,0.10067,0.018252335
0.045684,0.11114,0.020150636
0.046026,0.12469,0.022607368
0.046708,0.13919,0.025236342
0.04756,0.15369,0.027865317
0.047389,0.16979,0.030784385
0.047901,0.18187,0.032974593
0.048242,0.20281,0.036771194
0.048923,0.21731,0.039400169
0.049605,0.23409,0.042442527
0.050287,0.24536,0.044485875
0.050629,0.26456,0.047967
0.051651,0.28805,0.052225938
0.051651,0.30093,0.054561193
0.052163,0.31771,0.057603551
0.052333,0.33664,0.061035722
0.053355,0.34751,0.063006547
0.054379,0.36335,0.065878475
0.054549,0.38134,0.069140216
0.055401,0.40389,0.073228725
0.055401,0.4212,0.076367176
0.056424,0.43651,0.079143011
0.056765,0.45302,0.082136416
0.058129,0.47315,0.085786157
0.058129,0.491,0.089022516
0.05864,0.50604,0.091749397
0.059152,0.52214,0.094668465
0.059834,0.54765,0.099293647
0.060686,0.56187,0.101871855
0.060856,0.58201,0.10552341
0.06205,0.5957,0.108005525
0.06222,0.61395,0.111314406
0.062902,0.63221,0.114625101
0.063072,0.64912,0.117691029
0.064096,0.66791,0.121097818
0.064778,0.69208,0.125480046
0.0658,0.7055,0.127913207
0.066312,0.72161,0.130834089
0.066652,0.73906,0.133997924
0.066822,0.75785,0.137404712
0.067846,0.78416,0.142174941
0.068186,0.79677,0.144461242
0.069209,0.81369,0.147528983
0.06972,0.8314,0.150739958
0.070232,0.85073,0.154244653
0.070914,0.87382,0.158431069
0.071425,0.88885,0.161156137
0.072619,0.90845,0.164709785
0.073471,0.931,0.168798294
0.073812,0.94308,0.170988501
0.073983,0.95906,0.173885812
0.074835,0.97516,0.176804881
0.075005,0.99463,0.180334959
0.076199,1.01342,0.183741747
0.076539,1.03221,0.187148536
0.078073,1.04966,0.19031237
0.078925,1.07583,0.195057216
0.079097,1.08859,0.197370714
0.079607,1.10604,0.200534548
0.080119,1.12348,0.20369657
0.081483,1.14161,0.206983695
0.082165,1.15973,0.210269006
0.083017,1.17114,0.212337737
0.083699,1.18926,0.215623049
0.084722,1.21006,0.219394268
0.085234,1.22416,0.221950719
0.086597,1.23758,0.22438388
0.087278,1.25704,0.227912145
0.088812,1.26912,0.230102353
0.090006,1.28389,0.23278028
0.090858,1.29798,0.235334918
0.092052,1.3114,0.23776808
0.093927,1.32751,0.240688961
0.094438,1.33557,0.242150308
0.096143,1.34765,0.244340516
0.098019,1.35838,0.246285957
0.100235,1.37046,0.248476165
0.101257,1.37651,0.249573082
0.102279,1.38389,0.250911139
0.104837,1.39463,0.252858393
0.106882,1.40134,0.254074974
0.109098,1.40738,0.255170078
0.110632,1.41342,0.256265182
0.112508,1.41946,0.257360285
0.114894,1.42684,0.258698343
0.116088,1.43087,0.259429016
0.118645,1.43624,0.260402644
0.120861,1.44161,0.261376271
0.123077,1.4463,0.262226608
0.125293,1.45167,0.263200235
0.126487,1.4557,0.263930909
0.128021,1.4604,0.264783059
0.130918,1.46577,0.265756686
0.132964,1.46912,0.26636407
0.13535,1.47382,0.26721622
0.136544,1.47718,0.267825417
0.13859,1.4812,0.268554278
0.140124,1.48456,0.269163474
0.14251,1.48859,0.269894148
0.144385,1.49261,0.270623009
0.146091,1.49597,0.271232205
0.148647,1.49932,0.271839589
