Displacement (mm),Load (kN),Engineering Stress (GPa)
0.025399,0.0008,0.000161293
0.025569,0.0008,0.000161293
0.026251,0.0008,0.000161293
0.02574,0.0008,0.000161293
0.025399,0.0008,0.000161293
0.025569,0.0008,0.000161293
0.025399,0.0008,0.000161293
0.025229,0.0008,0.000161293
0.025058,0.0008,0.000161293
0.026081,0.0008,0.000161293
0.02574,0.0008,0.000161293
0.025399,0.0008,0.000161293
0.02574,0.0008,0.000161293
0.025399,0.0008,0.000161293
0.02574,0.0008,0.000161293
0.025229,0.0008,0.000161293
0.025911,0.0008,0.000161293
0.025911,0.0008,0.000161293
0.025569,0.0008,0.000161293
0.025569,0.0008,0.000161293
0.025229,0.0008,0.000161293
0.025569,0.00093,0.000187503
0.025229,0.00093,0.000187503
0.025399,0.0008,0.000161293
0.026081,0.00093,0.000187503
0.025399,0.00093,0.000187503
0.025569,0.00093,0.000187503
0.025058,0.0008,0.000161293
0.025399,0.00093,0.000187503
0.025399,0.00093,0.000187503
0.02574,0.00093,0.000187503
0.02574,0.00107,0.000215729
0.025399,0.00161,0.000324602
0.025911,0.00174,0.000350812
0.025229,0.00174,0.000350812
0.025399,0.00187,0.000377022
0.025229,0.00174,0.000350812
0.025911,0.00174,0.000350812
0.026081,0.00161,0.000324602
0.025229,0.00161,0.000324602
0.025399,0.00161,0.000324602
0.025399,0.00161,0.000324602
0.025569,0.00174,0.000350812
0.025399,0.00174,0.000350812
0.025569,0.00161,0.000324602
0.026081,0.00174,0.000350812
0.02574,0.00161,0.000324602
0.025569,0.00161,0.000324602
0.025058,0.00147,0.000296376
0.025399,0.00161,0.000324602
0.025911,0.00161,0.000324602
0.025399,0.00161,0.000324602
0.02574,0.00161,0.000324602
0.025229,0.00174,0.000350812
0.025569,0.00161,0.000324602
0.025058,0.00174,0.000350812
0.025058,0.00201,0.000405248
0.025569,0.00214,0.000431458
0.02574,0.00228,0.000459685
0.026081,0.00241,0.000485895
0.025399,0.00268,0.000540331
0.025569,0.00308,0.000620977
0.025229,0.00322,0.000649204
0.025569,0.00322,0.000649204
0.025569,0.00322,0.000649204
0.025399,0.00322,0.000649204
0.026081,0.00322,0.000649204
0.02574,0.00322,0.000649204
0.02574,0.00322,0.000649204
0.025058,0.00322,0.000649204
0.025058,0.00335,0.000675414
0.02574,0.00335,0.000675414
0.02574,0.00335,0.000675414
0.026251,0.00335,0.000675414
0.025229,0.00335,0.000675414
0.02574,0.00335,0.000675414
0.025569,0.00335,0.000675414
0.025229,0.00335,0.000675414
0.025058,0.00335,0.000675414
0.025399,0.00335,0.000675414
0.026081,0.00335,0.000675414
0.02574,0.00335,0.000675414
0.02574,0.00335,0.000675414
0.025229,0.00335,0.000675414
0.025058,0.00335,0.000675414
0.02574,0.00348,0.000701624
0.025229,0.00348,0.000701624
0.02574,0.00348,0.000701624
0.025399,0.00348,0.000701624
0.025399,0.00362,0.00072985
0.025569,0.00362,0.00072985
0.025058,0.00362,0.00072985
0.025569,0.00362,0.00072985
0.024888,0.00362,0.00072985
0.025399,0.00362,0.00072985
0.02574,0.00375,0.00075606
0.025569,0.00375,0.00075606
0.025399,0.00375,0.00075606
0.024888,0.00375,0.00075606
0.025399,0.00375,0.00075606
0.025229,0.00375,0.00075606
0.025569,0.00389,0.000784287
0.02574,0.00402,0.000810497
0.025229,0.00402,0.000810497
0.025569,0.00389,0.000784287
0.024888,0.00389,0.000784287
0.025229,0.00389,0.000784287
0.025058,0.00389,0.000784287
0.025399,0.00402,0.000810497
0.024888,0.00402,0.000810497
0.025569,0.00402,0.000810497
0.025569,0.00402,0.000810497
0.025229,0.00402,0.000810497
0.025058,0.00416,0.000838723
0.025569,0.00416,0.000838723
0.025399,0.00416,0.000838723
0.02574,0.00416,0.000838723
0.025229,0.00416,0.000838723
0.02574,0.00416,0.000838723
0.025229,0.00416,0.000838723
0.024717,0.00416,0.000838723
0.025229,0.00416,0.000838723
0.025399,0.00416,0.000838723
0.025911,0.00429,0.000864933
0.02574,0.00429,0.000864933
0.025399,0.00429,0.000864933
0.025229,0.00429,0.000864933
0.024717,0.00429,0.000864933
0.025399,0.00442,0.000891143
0.025058,0.00456,0.000919369
0.025399,0.00456,0.000919369
0.025569,0.00456,0.000919369
0.025569,0.00469,0.000945579
0.02574,0.00483,0.000973806
0.025058,0.00483,0.000973806
0.025229,0.00483,0.000973806
0.025058,0.00496,0.001000016
0.025399,0.0051,0.001028242
0.025911,0.00536,0.001080662
0.02574,0.00684,0.001379054
0.025569,0.00979,0.001973821
0.025058,0.01395,0.002812544
0.024717,0.01758,0.00354441
0.025229,0.02187,0.004409343
0.025058,0.02684,0.005411375
0.026081,0.03275,0.006602926
0.025399,0.03798,0.007657378
0.025229,0.04402,0.008875139
0.025229,0.05167,0.010417502
0.025229,0.06,0.012096964
0.026251,0.06563,0.013232063
0.026251,0.0753,0.01518169
0.026933,0.08335,0.016804699
0.026081,0.09302,0.018754327
0.026593,0.10013,0.020187817
0.027104,0.1114,0.02246003
0.026933,0.12093,0.024381431
0.027615,0.131,0.026411705
0.027445,0.14,0.02822625
0.027957,0.14953,0.030147651
0.028467,0.15758,0.03177066
0.028297,0.17543,0.035369507
0.028638,0.19006,0.03831915
0.028638,0.19892,0.040105468
0.028638,0.21073,0.042486554
0.028979,0.22456,0.045274904
0.029831,0.23718,0.047819299
0.030513,0.25073,0.050551197
0.029831,0.26255,0.052934299
0.030343,0.28281,0.05701904
0.030173,0.29852,0.060186429
0.030853,0.31543,0.063595756
0.031195,0.33288,0.067113957
0.031365,0.35073,0.070712804
0.032047,0.36724,0.074041485
0.031877,0.38456,0.077533475
0.032559,0.40483,0.081620233
0.032559,0.42993,0.086680796
0.032729,0.44966,0.090658681
0.03307,0.46832,0.094420837
0.033411,0.48859,0.098507595
0.033411,0.50684,0.102187088
0.034434,0.53503,0.107870645
0.034434,0.55489,0.11187474
0.034093,0.57637,0.116205453
0.034604,0.60026,0.121022061
0.035286,0.62389,0.125786249
0.035115,0.64456,0.129953653
0.035968,0.66926,0.13493357
0.035797,0.69771,0.140669547
0.036139,0.72134,0.145433735
0.036309,0.74201,0.149601139
0.03665,0.7659,0.154417747
0.037332,0.79221,0.159722266
0.037161,0.81879,0.165081221
0.038014,0.84134,0.169627663
0.038696,0.8663,0.17466
0.038525,0.89369,0.180182264
0.038525,0.91919,0.185323474
0.039378,0.94738,0.191007031
0.039548,0.96375,0.194307486
0.039888,0.98859,0.199315629
0.04057,1.01476,0.204591922
0.0404,1.04093,0.209868214
0.04023,1.06644,0.21501144
0.041252,1.09328,0.220422815
0.041082,1.11879,0.225566041
0.041424,1.14161,0.23016692
0.042276,1.15973,0.233820203
0.042104,1.19932,0.241802183
0.043128,1.22818,0.247620823
0.043128,1.25167,0.252356784
0.043638,1.27583,0.257227829
0.043468,1.30402,0.262911385
0.043638,1.33221,0.268594942
0.04398,1.35704,0.273601069
0.044492,1.37986,0.278201948
0.045514,1.40402,0.283072992
0.045344,1.43422,0.289161798
0.045684,1.46174,0.294710272
0.045684,1.48859,0.300123663
0.045514,1.51812,0.306077386
0.046878,1.54429,0.311353678
0.046708,1.56778,0.31608964
0.047048,1.59127,0.320825601
0.047048,1.61879,0.326374075
0.045684,1.62751,0.328132167
0.042446,1.58053,0.318660245
0.041082,1.57919,0.318390079
0.041252,1.59328,0.321230849
0.040912,1.61073,0.32474905
0.041594,1.62281,0.327184572
0.042104,1.62953,0.328539432
0.042104,1.63624,0.329892276
0.042276,1.64429,0.331515285
0.041764,1.651,0.332868129
0.042104,1.65906,0.334493154
0.042616,1.67114,0.336928677
0.042616,1.67919,0.338551686
0.042958,1.68523,0.339769447
0.042104,1.68657,0.340039612
0.042446,1.68791,0.340309778
0.042276,1.68456,0.339634364
0.042446,1.68255,0.339229116
0.042786,1.67516,0.337739173
0.042104,1.66644,0.335981081
0.042616,1.6557,0.333815724
0.042276,1.64563,0.331785451
0.042616,1.63758,0.330162441
0.041934,1.63557,0.329757193
0.041594,1.63154,0.32894468
0.041934,1.62684,0.327997085
0.041764,1.62013,0.326644241
0.042446,1.6114,0.324884133
0.042446,1.60469,0.323531289
0.041764,1.6,0.322585709
0.042276,1.59731,0.322043362
0.042104,1.59597,0.321773197
0.042446,1.58657,0.319878006
0.043298,1.57986,0.318525162
0.04432,1.57382,0.317307401
0.046708,1.57315,0.317172318
0.048923,1.56644,0.315819474
0.051481,1.55838,0.314194449
